"ID","TITLE","TIER","TAGS"
"1000","A+B","Bronze 5","구현|사칙연산|수학"
"1001","A-B","Bronze 5","구현|사칙연산|수학"
"1002","터렛","Silver 3","기하학|많은 조건 분기|수학"
"1003","피보나치 함수","Silver 3","다이나믹 프로그래밍"
"1004","어린 왕자","Silver 3","기하학|수학"
"1005","ACM Craft","Gold 3","그래프 이론|다이나믹 프로그래밍|방향 비순환 그래프|위상 정렬"
"1006","습격자 초라기","Platinum 3","다이나믹 프로그래밍"
"1007","벡터 매칭","Gold 2","브루트포스 알고리즘|수학"
"1008","A/B","Bronze 5","구현|사칙연산|수학"
"1009","분산처리","Bronze 2","구현|수학"
"1010","다리 놓기","Silver 5","다이나믹 프로그래밍|수학|조합론"
"1011","Fly me to the Alpha Centauri","Gold 5","수학"
"1012","유기농 배추","Silver 2","격자 그래프|그래프 이론|그래프 탐색|깊이 우선 탐색|너비 우선 탐색|플러드 필"
"1013","Contact","Gold 5","문자열|정규 표현식"
"1014","컨닝","Platinum 4","그래프 이론|다이나믹 프로그래밍|비트마스킹|비트필드를 이용한 다이나믹 프로그래밍|최대 유량"
"1015","수열 정렬","Silver 4","정렬"
"1016","제곱 ㄴㄴ 수","Gold 1","소수 판정|수학|에라토스테네스의 체|정수론"
"1017","소수 쌍","Platinum 3","소수 판정|수학|에라토스테네스의 체|이분 매칭|정수론"
"1018","체스판 다시 칠하기","Silver 3","구현|브루트포스 알고리즘"
"1019","책 페이지","Platinum 5","구현|수학"
"1020","디지털 카운터","Platinum 3","다이나믹 프로그래밍"
"1021","회전하는 큐","Silver 3","덱|자료 구조"
"1022","소용돌이 예쁘게 출력하기","Gold 3","구현|수학"
"1023","괄호 문자열","Platinum 3","다이나믹 프로그래밍|수학|조합론"
"1024","수열의 합","Silver 2","브루트포스 알고리즘|수학"
"1025","제곱수 찾기","Gold 5","브루트포스 알고리즘"
"1026","보물","Silver 4","그리디 알고리즘|수학|정렬"
"1027","고층 건물","Gold 4","기하학|브루트포스 알고리즘|수학"
"1028","다이아몬드 광산","Platinum 5","누적 합|다이나믹 프로그래밍"
"1029","그림 교환","Gold 1","다이나믹 프로그래밍|비트마스킹|비트필드를 이용한 다이나믹 프로그래밍"
"1030","프렉탈 평면","Gold 3","구현|분할 정복|재귀"
"1031","스타 대결","Diamond 5","그래프 이론|최대 유량"
"1032","명령 프롬프트","Bronze 1","구현|문자열"
"1033","칵테일","Gold 2","그래프 이론|그래프 탐색|수학|유클리드 호제법|정수론"
"1034","램프","Gold 4","브루트포스 알고리즘|애드 혹|홀짝성"
"1035","조각 움직이기","Gold 1","그래프 이론|그래프 탐색|너비 우선 탐색|브루트포스 알고리즘|비트마스킹"
"1036","36진수","Gold 2","구현|그리디 알고리즘|문자열|수학|임의 정밀도 / 큰 수 연산"
"1037","약수","Bronze 1","수학|정수론"
"1038","감소하는 수","Gold 5","백트래킹|브루트포스 알고리즘"
"1039","교환","Gold 2","그래프 이론|그래프 탐색|너비 우선 탐색"
"1040","정수","Platinum 2","그리디 알고리즘|다이나믹 프로그래밍|비트마스킹|자릿수를 이용한 다이나믹 프로그래밍"
"1041","주사위","Gold 5","구현|그리디 알고리즘|수학"
"1042","움","Platinum 1","다이나믹 프로그래밍|문자열|집합과 맵"
"1043","거짓말","Gold 4","그래프 이론|그래프 탐색|분리 집합|자료 구조"
"1044","팀 선발","Platinum 3","비트마스킹|중간에서 만나기|집합과 맵"
"1045","도로","Gold 1","그래프 이론|그리디 알고리즘|최소 스패닝 트리"
"1046","그림자","Diamond 3","각도 정렬|구현|기하학|선분 교차 판정|스위핑|정렬"
"1047","울타리","Platinum 5","그리디 알고리즘|브루트포스 알고리즘"
"1048","유니콘","Platinum 4","누적 합|다이나믹 프로그래밍"
"1049","기타줄","Silver 4","그리디 알고리즘|수학"
"1050","물약","Platinum 5","그래프 이론|문자열|파싱"
"1051","숫자 정사각형","Silver 3","구현|브루트포스 알고리즘"
"1052","물병","Gold 5","그리디 알고리즘|비트마스킹|수학"
"1053","팰린드롬 공장","Gold 1","다이나믹 프로그래밍|브루트포스 알고리즘"
"1054","팰린드롬 문장","Diamond 4","다이나믹 프로그래밍|문자열|비트마스킹|비트필드를 이용한 다이나믹 프로그래밍"
"1055","끝이없음","Platinum 3","구현|재귀"
"1056","수","Platinum 2","다이나믹 프로그래밍|이분 탐색|집합과 맵"
"1057","토너먼트","Silver 4","브루트포스 알고리즘|수학"
"1058","친구","Silver 2","그래프 이론|그래프 탐색|브루트포스 알고리즘|최단 경로|플로이드–워셜"
"1059","좋은 구간","Silver 4","브루트포스 알고리즘|수학|정렬"
"1060","좋은 수","Gold 1","수학|우선순위 큐|자료 구조|정렬"
"1061","삼각형","Platinum 1","기하학|볼록 껍질|브루트포스 알고리즘"
"1062","가르침","Gold 4","백트래킹|브루트포스 알고리즘|비트마스킹"
"1063","킹","Silver 3","구현|시뮬레이션"
"1064","평행사변형","Silver 4","기하학|수학|피타고라스 정리"
"1065","한수","Silver 4","브루트포스 알고리즘|수학"
"1066","에이한수","Platinum 2","그리디 알고리즘|다이나믹 프로그래밍"
"1067","이동","Platinum 1","고속 푸리에 변환|수학"
"1068","트리","Gold 5","그래프 이론|그래프 탐색|깊이 우선 탐색|트리"
"1069","집으로","Gold 3","기하학|많은 조건 분기|애드 혹"
"1070","김지민의 침략","Platinum 1","그래프 이론|최대 유량|최대 유량 최소 컷 정리"
"1071","소트","Platinum 5","그리디 알고리즘"
"1072","게임","Silver 3","수학|이분 탐색"
"1073","도미노","Platinum 3","그래프 이론|수학|오일러 경로|조합론"
"1074","Z","Gold 5","분할 정복|재귀"
"1075","나누기","Bronze 2","브루트포스 알고리즘|수학"
"1076","저항","Bronze 2","구현"
"1077","넓이","Diamond 5","기하학|다각형의 넓이|볼록 껍질|볼록 다각형 내부의 점 판정|선분 교차 판정"
"1078","뒤집음","Platinum 1","브루트포스 알고리즘|수학"
"1079","마피아","Gold 2","백트래킹|브루트포스 알고리즘"
"1080","행렬","Silver 1","그리디 알고리즘"
"1081","합","Gold 1","수학"
"1082","방 번호","Gold 3","그리디 알고리즘|다이나믹 프로그래밍"
"1083","소트","Gold 4","그리디 알고리즘|정렬"
"1084","방 번호 2","Platinum 2","구현|그리디 알고리즘"
"1085","직사각형에서 탈출","Bronze 3","기하학|수학"
"1086","박성원","Platinum 5","다이나믹 프로그래밍|비트마스킹|비트필드를 이용한 다이나믹 프로그래밍"
"1087","쥐 잡기","Platinum 4","삼분 탐색"
"1088","케이크","Platinum 2","그리디 알고리즘|우선순위 큐|자료 구조"
"1089","스타트링크 타워","Gold 4","구현|수학|확률론"
"1090","체커","Platinum 4","브루트포스 알고리즘"
"1091","카드 섞기","Gold 4","구현|시뮬레이션"
"1092","배","Gold 5","그리디 알고리즘|정렬"
"1093","스티커 수집","Platinum 3","중간에서 만나기"
"1094","막대기","Silver 5","비트마스킹|수학"
"1095","마법의 구슬","Platinum 5","소수 판정|소인수분해|수학|에라토스테네스의 체|정수론"
"1096","종이 접기","Platinum 3","브루트포스 알고리즘|비트마스킹|집합과 맵"
"1097","마법의 문자열","Platinum 5","KMP|문자열|브루트포스 알고리즘"
"1098","쌍둥이 마을","Platinum 2","다이나믹 프로그래밍|비트마스킹|비트필드를 이용한 다이나믹 프로그래밍"
"1099","알 수 없는 문장","Gold 3","다이나믹 프로그래밍"
"1100","하얀 칸","Bronze 2","구현|문자열"
"1101","카드 정리 1","Gold 4","그리디 알고리즘|브루트포스 알고리즘"
"1102","발전소","Platinum 5","다이나믹 프로그래밍|비트마스킹|비트필드를 이용한 다이나믹 프로그래밍"
"1103","게임","Gold 2","그래프 이론|그래프 탐색|깊이 우선 탐색|다이나믹 프로그래밍"
"1104","패턴","Platinum 2","구현|많은 조건 분기|문자열"
"1105","팔","Silver 1","그리디 알고리즘|수학"
"1106","호텔","Gold 4","다이나믹 프로그래밍|배낭 문제"
"1107","리모컨","Gold 4","브루트포스 알고리즘"
"1108","검색 엔진","Platinum 3","강한 연결 요소|그래프 이론|방향 비순환 그래프|위상 정렬|자료 구조|집합과 맵|해시를 사용한 집합과 맵"
"1109","섬","Platinum 3","구현|그래프 이론|그래프 탐색|깊이 우선 탐색|너비 우선 탐색"
"1110","더하기 사이클","Bronze 1","구현|수학"
"1111","IQ Test","Gold 3","구현|많은 조건 분기|브루트포스 알고리즘|수학"
"1112","진법 변환","Gold 3","구현|수학|정수론"
"1113","수영장 만들기","Gold 1","격자 그래프|구현|그래프 이론|그래프 탐색|너비 우선 탐색|시뮬레이션"
"1114","통나무 자르기","Platinum 5","그리디 알고리즘|매개 변수 탐색|이분 탐색"
"1115","순열","Gold 1","그래프 이론"
"1116","순열 2","Platinum 2","그래프 이론|그리디 알고리즘"
"1117","색칠 1","Gold 5","구현|수학"
"1118","색칠 2","Platinum 2","값 / 좌표 압축|구현|기하학|스위핑|정렬|집합과 맵"
"1119","그래프","Gold 1","그래프 이론|그래프 탐색|깊이 우선 탐색|분리 집합|자료 구조"
"1120","문자열","Silver 4","문자열|브루트포스 알고리즘"
"1121","도형","Platinum 3","기하학|다이나믹 프로그래밍|배낭 문제|정렬"
"1122","뒤집기","Platinum 4","그래프 이론|그래프 탐색|너비 우선 탐색|많은 조건 분기|수학"
"1123","셔플","Diamond 5","그래프 이론|다이나믹 프로그래밍|분할 정복을 이용한 거듭제곱|수학"
"1124","언더프라임","Silver 1","소수 판정|소인수분해|수학|에라토스테네스의 체|정수론"
"1125","바닥 장식","Platinum 4","그리디 알고리즘|많은 조건 분기|수학"
"1126","같은 탑","Platinum 3","다이나믹 프로그래밍"
"1127","떡국","Diamond 4","그래프 이론|최대 유량|최대 유량 최소 컷 정리"
"1128","피보나치 냅색","Platinum 1","백트래킹|수학"
"1129","키","Platinum 3","그리디 알고리즘|정렬"
"1130","종이 레이싱","Diamond 5","그래프 이론|그래프 탐색|기하학|너비 우선 탐색|선분 교차 판정"
"1131","숫자","Platinum 5","그래프 이론|그래프 탐색|깊이 우선 탐색|다이나믹 프로그래밍"
"1132","합","Gold 3","그리디 알고리즘"
"1133","반복되지 않는 단어","Platinum 5","백트래킹|재귀"
"1134","식","Diamond 5","구현|다이나믹 프로그래밍|브루트포스 알고리즘"
"1135","뉴스 전하기","Gold 2","그리디 알고리즘|다이나믹 프로그래밍|정렬|트리|트리에서의 다이나믹 프로그래밍"
"1136","조각 놓기","Platinum 4","다이나믹 프로그래밍|배낭 문제"
"1137","로봇 레이스","Platinum 4","다이나믹 프로그래밍"
"1138","한 줄로 서기","Silver 2","구현|그리디 알고리즘"
"1139","울타리","Gold 1","다이나믹 프로그래밍|비트마스킹|비트필드를 이용한 다이나믹 프로그래밍"
"1140","요금","Platinum 3","구현|그리디 알고리즘|브루트포스 알고리즘|수학|정수론"
"1141","접두사","Silver 1","그리디 알고리즘|문자열|정렬"
"1142","피자","Platinum 3","기하학"
"1143","경찰","Platinum 2","강한 연결 요소|그래프 이론|그리디 알고리즘|방향 비순환 그래프|위상 정렬|정렬"
"1144","싼 비용","Diamond 3","다이나믹 프로그래밍|커넥션 프로파일을 이용한 다이나믹 프로그래밍"
"1145","적어도 대부분의 배수","Bronze 1","브루트포스 알고리즘"
"1146","지그재그 서기","Platinum 5","다이나믹 프로그래밍|수학|조합론"
